#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       2.414597275376e-01      -2.946906955181e-02      -1.414317768251e+02      -2.265028153121e+02      -2.670343404589e-01      -1.982389138860e+02       2.375788743764e-02       2.375782502145e-02 
       2.495393263492e-01      -2.841392399372e-02      -1.501747968831e+02      -2.317780441120e+02      -2.728952928347e-01      -2.036722041205e+02       2.285396354136e-02       2.285390162719e-02 
       2.578929749106e-01      -2.731779294230e-02      -1.574817085218e+02      -2.369940289808e+02      -2.662930684516e-01      -2.088434437628e+02       2.194062772131e-02       2.194057053998e-02 
       2.665318735985e-01      -2.607436205269e-02      -1.606910998898e+02      -2.416400818645e+02      -2.373778638579e-01      -2.129542777496e+02       2.094569650301e-02       2.094565061182e-02 
       2.754682990571e-01      -2.471177332064e-02      -1.598011582179e+02      -2.455938953566e+02      -2.274991808832e-01      -2.159107883619e+02       1.988096663273e-02       1.988092542525e-02 
       2.847157954539e-01      -2.336471344376e-02      -1.576587323615e+02      -2.492508906960e+02      -2.297188109950e-01      -2.184482290336e+02       1.882918591625e-02       1.882914556487e-02 
       2.942893987864e-01      -2.217254268637e-02      -1.579977793194e+02      -2.532498886516e+02      -2.196888559036e-01      -2.216241801441e+02       1.788025544706e-02       1.788021898481e-02 
       3.042059018262e-01      -2.117607623119e-02      -1.625585297708e+02      -2.579678607202e+02      -1.999718285022e-01      -2.259941259900e+02       1.706346793410e-02       1.706343745939e-02 
       3.144841696300e-01      -2.029484937973e-02      -1.696078273520e+02      -2.632086259310e+02      -1.830147153321e-01      -2.311456546757e+02       1.633026313349e-02       1.633023764783e-02 
       3.251455186994e-01      -1.940425446986e-02      -1.753952069016e+02      -2.683802854848e+02      -1.723759079464e-01      -2.360544077509e+02       1.560131698913e-02       1.560129476824e-02 
       3.362141771430e-01      -1.844412316433e-02      -1.775574645892e+02      -2.730281757851e+02      -1.647509769958e-01      -2.400108069279e+02       1.483553378806e-02       1.483551391961e-02 
       3.477178490630e-01      -1.746266996015e-02      -1.774023777720e+02      -2.772720282734e+02      -1.570250207443e-01      -2.433042196135e+02       1.406047087175e-02       1.406045312183e-02 
       3.596884145492e-01      -1.655494456003e-02      -1.785463157662e+02      -2.816941491879e+02      -1.482055166853e-01      -2.469315373273e+02       1.333606244113e-02       1.333604678931e-02 
       3.721628081839e-01      -1.575696316646e-02      -1.829073438840e+02      -2.866912121272e+02      -1.389594606505e-01      -2.514901982415e+02       1.268699702278e-02       1.268698334850e-02 
       3.851841354827e-01      -1.501270469374e-02      -1.885076982149e+02      -2.920075023360e+02      -1.311345867917e-01      -2.564841125409e+02       1.207889390713e-02       1.207888184429e-02 
       3.988031107989e-01      -1.425388614553e-02      -1.921471532984e+02      -2.971261362381e+02      -1.300895065194e-01      -2.610300752493e+02       1.146771119720e-02       1.146769979658e-02 
       4.130799360347e-01      -1.348398186340e-02      -1.937194360639e+02      -3.019858813706e+02      -1.356853510438e-01      -2.650642980341e+02       1.085390745810e-02       1.085389600717e-02 
       4.280867938270e-01      -1.275415147473e-02      -1.960695291283e+02      -3.069854643150e+02      -1.274573895746e-01      -2.693237011045e+02       1.026866088381e-02       1.026865092546e-02 
