#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.206230E-03   0.226657E+07   0.226657E+07   0.296160E+07   0.296083E+07   0.000000E+00   0.226657E+07   0.226657E+07   0.227609E+07  -0.600294E+00   0.226216E+07   0.226216E+07   0.105883E+01
   0.213220E-03   0.226653E+07   0.226652E+07   0.295741E+07   0.295659E+07   0.000000E+00   0.226653E+07   0.226653E+07   0.227603E+07  -0.600277E+00   0.226211E+07   0.226211E+07   0.109462E+01
   0.220448E-03   0.226648E+07   0.226647E+07   0.295294E+07   0.295206E+07   0.000000E+00   0.226648E+07   0.226648E+07   0.227597E+07  -0.600260E+00   0.226207E+07   0.226207E+07   0.113161E+01
   0.227920E-03   0.226643E+07   0.226642E+07   0.294817E+07   0.294723E+07   0.000000E+00   0.226643E+07   0.226643E+07   0.227590E+07  -0.600241E+00   0.226202E+07   0.226202E+07   0.116984E+01
   0.235645E-03   0.226637E+07   0.226637E+07   0.294307E+07   0.294207E+07   0.000000E+00   0.226637E+07   0.226637E+07   0.227583E+07  -0.600222E+00   0.226196E+07   0.226196E+07   0.120936E+01
   0.243632E-03   0.226631E+07   0.226631E+07   0.293764E+07   0.293657E+07   0.000000E+00   0.226631E+07   0.226631E+07   0.227575E+07  -0.600200E+00   0.226191E+07   0.226190E+07   0.125020E+01
   0.251890E-03   0.226625E+07   0.226624E+07   0.293184E+07   0.293070E+07   0.000000E+00   0.226625E+07   0.226625E+07   0.227567E+07  -0.600178E+00   0.226184E+07   0.226184E+07   0.129241E+01
   0.260428E-03   0.226618E+07   0.226618E+07   0.292565E+07   0.292444E+07   0.000000E+00   0.226618E+07   0.226618E+07   0.227558E+07  -0.600153E+00   0.226178E+07   0.226178E+07   0.133603E+01
   0.269255E-03   0.226611E+07   0.226611E+07   0.291905E+07   0.291776E+07   0.000000E+00   0.226611E+07   0.226611E+07   0.227549E+07  -0.600127E+00   0.226171E+07   0.226171E+07   0.138111E+01
   0.278382E-03   0.226604E+07   0.226603E+07   0.291201E+07   0.291064E+07   0.000000E+00   0.226604E+07   0.226604E+07   0.227539E+07  -0.600100E+00   0.226163E+07   0.226163E+07   0.142770E+01
   0.287817E-03   0.226595E+07   0.226595E+07   0.290450E+07   0.290304E+07   0.000000E+00   0.226595E+07   0.226595E+07   0.227529E+07  -0.600070E+00   0.226155E+07   0.226155E+07   0.147584E+01
   0.297573E-03   0.226587E+07   0.226586E+07   0.289650E+07   0.289494E+07   0.000000E+00   0.226587E+07   0.226587E+07   0.227517E+07  -0.600038E+00   0.226147E+07   0.226147E+07   0.152559E+01
   0.307659E-03   0.226577E+07   0.226576E+07   0.288796E+07   0.288630E+07   0.000000E+00   0.226577E+07   0.226577E+07   0.227505E+07  -0.600005E+00   0.226138E+07   0.226138E+07   0.157700E+01
   0.318088E-03   0.226568E+07   0.226566E+07   0.287887E+07   0.287709E+07   0.000000E+00   0.226567E+07   0.226567E+07   0.227492E+07  -0.599969E+00   0.226128E+07   0.226128E+07   0.163012E+01
   0.328869E-03   0.226557E+07   0.226556E+07   0.286917E+07   0.286728E+07   0.000000E+00   0.226557E+07   0.226557E+07   0.227479E+07  -0.599930E+00   0.226118E+07   0.226117E+07   0.168500E+01
   0.340016E-03   0.226546E+07   0.226544E+07   0.285884E+07   0.285683E+07   0.000000E+00   0.226545E+07   0.226545E+07   0.227464E+07  -0.599889E+00   0.226106E+07   0.226106E+07   0.174171E+01
   0.351541E-03   0.226533E+07   0.226532E+07   0.284784E+07   0.284570E+07   0.000000E+00   0.226533E+07   0.226533E+07   0.227448E+07  -0.599845E+00   0.226094E+07   0.226094E+07   0.180029E+01
   0.363457E-03   0.226520E+07   0.226519E+07   0.283612E+07   0.283385E+07   0.000000E+00   0.226520E+07   0.226520E+07   0.227431E+07  -0.599799E+00   0.226082E+07   0.226082E+07   0.186082E+01
   0.375776E-03   0.226507E+07   0.226505E+07   0.282364E+07   0.282123E+07   0.000000E+00   0.226506E+07   0.226506E+07   0.227414E+07  -0.599749E+00   0.226068E+07   0.226068E+07   0.192334E+01
