#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       8.762475184742e-05      -8.789225715838e-02      -6.833649614090e-02      -6.833665216809e-02      -6.832746486761e-02      -6.833990140613e-02       4.741567222994e-01       4.740746340167e-01 
       8.966579451580e-05      -9.187783032313e-02      -7.155682424612e-02      -7.155699528219e-02      -7.154675736038e-02      -7.156036251470e-02       4.741544946665e-01       4.740726072928e-01 
       9.175437917530e-05      -9.603639934620e-02      -7.492889544013e-02      -7.492908292659e-02      -7.491768532811e-02      -7.493257037336e-02       4.741521621188e-01       4.740704847313e-01 
       9.389161322116e-05      -1.003747269222e-01      -7.845985885224e-02      -7.846006436975e-02      -7.844738716202e-02      -7.846367403996e-02       4.741497212067e-01       4.740682632752e-01 
       9.607862984315e-05      -1.048997644405e-01      -8.215719997456e-02      -8.215742525528e-02      -8.214333656548e-02      -8.216115890809e-02       4.741471662520e-01       4.740659376433e-01 
       9.831658862643e-05      -1.096186519558e-01      -8.602875695147e-02      -8.602900389110e-02      -8.601335873377e-02      -8.603286299230e-02       4.741444921297e-01       4.740635031301e-01 
       1.006066761664e-04      -1.145387120141e-01      -9.008273693304e-02      -9.008300760857e-02      -9.006564660815e-02      -9.008699328126e-02       4.741416929711e-01       4.740609542929e-01 
       1.029501066977e-04      -1.196674511952e-01      -9.432773365475e-02      -9.432803034637e-02      -9.430877832757e-02      -9.433214331674e-02       4.741387632101e-01       4.740582860389e-01 
       1.053481227383e-04      -1.250125434608e-01      -9.877274564118e-02      -9.877307084218e-02      -9.875173528977e-02      -9.877731137963e-02       4.741356976507e-01       4.740554936219e-01 
       1.078019957481e-04      -1.305818297682e-01      -1.034271946566e-01      -1.034275510984e-01      -1.034039204650e-01      -1.034319189484e-01       4.741324885717e-01       4.740525698079e-01 
       1.103130268029e-04      -1.363833114544e-01      -1.083009466216e-01      -1.083013373051e-01      -1.082751791560e-01      -1.083058316145e-01       4.741291305219e-01       4.740495096638e-01 
       1.128825472847e-04      -1.424251246990e-01      -1.134043316031e-01      -1.134047598049e-01      -1.133758187819e-01      -1.134093790411e-01       4.741256161086e-01       4.740463062928e-01 
       1.155119195872e-04      -1.487155458024e-01      -1.187481661853e-01      -1.187486355038e-01      -1.187166310972e-01      -1.187533773629e-01       4.741219384125e-01       4.740429533289e-01 
       1.182025378385e-04      -1.552629575548e-01      -1.243437761148e-01      -1.243442904835e-01      -1.243089145784e-01      -1.243491517909e-01       4.741180899446e-01       4.740394438183e-01 
       1.209558286399e-04      -1.620758471891e-01      -1.302030202944e-01      -1.302035840282e-01      -1.301644982265e-01      -1.302085606273e-01       4.741140628583e-01       4.740357704994e-01 
       1.237732518227e-04      -1.691627725392e-01      -1.363383158176e-01      -1.363389336398e-01      -1.362957663125e-01      -1.363440202708e-01       4.741098488183e-01       4.740319256180e-01 
       1.266563012220e-04      -1.765323452935e-01      -1.427626643738e-01      -1.427633414571e-01      -1.427156845171e-01      -1.427685316224e-01       4.741054395505e-01       4.740279015094e-01 
       1.296065054687e-04      -1.841931996390e-01      -1.494896794916e-01      -1.494904214998e-01      -1.494378268647e-01      -1.494957073158e-01       4.741008260000e-01       4.740236897376e-01 
       1.326254288001e-04      -1.921539716008e-01      -1.565336155303e-01      -1.565344286795e-01      -1.564764043868e-01      -1.565398007136e-01       4.740959990899e-01       4.740192818809e-01 
       1.357146718894e-04      -2.004232413672e-01      -1.639093974642e-01      -1.639102885415e-01      -1.638462944964e-01      -1.639157356355e-01       4.740909486337e-01       4.740146683935e-01 
       1.388758726941e-04      -2.090095225847e-01      -1.716326529386e-01      -1.716336293889e-01      -1.715630726985e-01      -1.716391384604e-01       4.740856650162e-01       4.740098403455e-01 
       1.421107073247e-04      -2.179212026662e-01      -1.797197446292e-01      -1.797208146044e-01      -1.796430444565e-01      -1.797263704330e-01       4.740801371933e-01       4.740047873873e-01 
       1.454208909334e-04      -2.271664953611e-01      -1.881878057179e-01      -1.881889781456e-01      -1.881032802111e-01      -1.881945631359e-01       4.740743552819e-01       4.739995003423e-01 
       1.488081786234e-04      -2.367533799282e-01      -1.970547744462e-01      -1.970560590776e-01      -1.969616493476e-01      -1.970616530034e-01       4.740683062377e-01       4.739939668770e-01 
       1.522743663794e-04      -2.466895818421e-01      -2.063394340057e-01      -2.063408415592e-01      -2.062368596156e-01      -2.063464212754e-01       4.740619791968e-01       4.739881768870e-01 
       1.558212920200e-04      -2.569824329526e-01      -2.160614504277e-01      -2.160629925826e-01      -2.159484941998e-01      -2.160685317230e-01       4.740553609078e-01       4.739821178468e-01 
       1.594508361722e-04      -2.676388962436e-01      -2.262414153332e-01      -2.262431049327e-01      -2.261170539857e-01      -2.262485735634e-01       4.740484389562e-01       4.739757781337e-01 
       1.631649232683e-04      -2.786653811483e-01      -2.369008884726e-01      -2.369027395112e-01      -2.367639990873e-01      -2.369081037704e-01       4.740411994505e-01       4.739691446029e-01 
       1.669655225665e-04      -2.900677574299e-01      -2.480624435641e-01      -2.480644713998e-01      -2.479117940688e-01      -2.480696930868e-01       4.740336281484e-01       4.739622038107e-01 
       1.708546491948e-04      -3.018512124061e-01      -2.597497159040e-01      -2.597519373656e-01      -2.595839545129e-01      -2.597569735035e-01       4.740257103305e-01       4.739549418374e-01 
       1.748343652196e-04      -3.140201141858e-01      -2.719874527653e-01      -2.719898862042e-01      -2.718050963314e-01      -2.719946885662e-01       4.740174317147e-01       4.739473451769e-01 
       1.789067807391e-04      -3.265779707020e-01      -2.848015632468e-01      -2.848042287470e-01      -2.846009846631e-01      -2.848087433312e-01       4.740087745410e-01       4.739393968722e-01 
       1.830740550019e-04      -3.395273015213e-01      -2.982191757274e-01      -2.982220953041e-01      -2.979985900723e-01      -2.982262617630e-01       4.739997227414e-01       4.739310816660e-01 
       1.873383975518e-04      -3.528694847638e-01      -3.122686938658e-01      -3.122718916188e-01      -3.120261431648e-01      -3.122756426453e-01       4.739902596681e-01       4.739223837098e-01 
       1.917020693999e-04      -3.666045661272e-01      -3.269798553950e-01      -3.269833575873e-01      -3.267131918369e-01      -3.269866182524e-01       4.739803665348e-01       4.739132849878e-01 
       1.961673842226e-04      -3.807312803684e-01      -3.423837962745e-01      -3.423876317485e-01      -3.420906641310e-01      -3.423903187610e-01       4.739700251822e-01       4.739037681463e-01 
       2.007367095890e-04      -3.952466644771e-01      -3.585131147379e-01      -3.585173148845e-01      -3.581909300763e-01      -3.585193358219e-01       4.739592154498e-01       4.738938137704e-01 
       2.054124682160e-04      -4.101461388822e-01      -3.754019409579e-01      -3.754065402387e-01      -3.750478699804e-01      -3.754077926737e-01       4.739479173281e-01       4.738834026167e-01 
       2.101971392525e-04      -4.254231262069e-01      -3.930860083213e-01      -3.930910443520e-01      -3.926969431100e-01      -3.930914149434e-01       4.739361097922e-01       4.738725143811e-01 
       2.150932595945e-04      -4.410689991161e-01      -4.116027284114e-01      -4.116082423667e-01      -4.111752607018e-01      -4.116076058537e-01       4.739237709777e-01       4.738611279018e-01 
       2.201034252299e-04      -4.570727421077e-01      -4.309912694876e-01      -4.309973062372e-01      -4.305216616085e-01      -4.309955243739e-01       4.739108778338e-01       4.738492207785e-01 
       2.252302926148e-04      -4.734209241331e-01      -4.512926388565e-01      -4.512992474897e-01      -4.507767922682e-01      -4.512961678695e-01       4.738974066231e-01       4.738367699015e-01 
       2.304765800820e-04      -4.900974505628e-01      -4.725497692635e-01      -4.725570035553e-01      -4.719831899965e-01      -4.725524583525e-01       4.738833331641e-01       4.738237516733e-01 
       2.358450692828e-04      -5.070831072826e-01      -4.948076082462e-01      -4.948155266795e-01      -4.941853685439e-01      -4.948093313268e-01       4.738686316976e-01       4.738101408364e-01 
       2.413386066610e-04      -5.243557364680e-01      -5.181132125728e-01      -5.181218792409e-01      -5.174299097602e-01      -5.181138309448e-01       4.738532758304e-01       4.737959114636e-01 
       2.469601049630e-04      -5.418896177311e-01      -5.425158470127e-01      -5.425253317247e-01      -5.417655575671e-01      -5.425152079345e-01       4.738372380318e-01       4.737810363979e-01 
       2.527125447816e-04      -5.596555212189e-01      -5.680670872851e-01      -5.680774663080e-01      -5.672433171412e-01      -5.680650230288e-01       4.738204898775e-01       4.737654875181e-01 
       2.585989761364e-04      -5.776204420310e-01      -5.948209285814e-01      -5.948322853996e-01      -5.939165586793e-01      -5.948172553834e-01       4.738030024739e-01       4.737492361426e-01 
       2.646225200914e-04      -5.957470939557e-01      -6.228338964897e-01      -6.228463219999e-01      -6.218411225129e-01      -6.228284128592e-01       4.737847443999e-01       4.737322509483e-01 
       2.707863704092e-04      -6.139939489100e-01      -6.521651680274e-01      -6.521787612719e-01      -6.510754349024e-01      -6.521576534305e-01       4.737656843860e-01       4.737145006563e-01 
       2.770937952449e-04      -6.323150964422e-01      -6.828766936293e-01      -6.828915628872e-01      -6.816806241275e-01      -6.828669073602e-01       4.737457901014e-01       4.736959528023e-01 
       2.835481388786e-04      -6.506597802158e-01      -7.150333254352e-01      -7.150495886968e-01      -7.137206412739e-01      -7.150210047861e-01       4.737250270446e-01       4.736765726090e-01 
       2.901528234887e-04      -6.689723923786e-01      -7.487029547135e-01      -7.487207406372e-01      -7.472623906176e-01      -7.486878134431e-01       4.737033603298e-01       4.736563247645e-01 
       2.969113509664e-04      -6.871922616848e-01      -7.839566528382e-01      -7.839761016539e-01      -7.823758623310e-01      -7.839383794415e-01       4.736807541086e-01       4.736351728291e-01 
       3.038273047726e-04      -7.052535515406e-01      -8.208688181400e-01      -8.208900826702e-01      -8.191342704620e-01      -8.208470740735e-01       4.736571708291e-01       4.736130784799e-01 
       3.109043518373e-04      -7.230850369437e-01      -8.595173316677e-01      -8.595405780816e-01      -8.576141985692e-01      -8.594917491725e-01       4.736325716436e-01       4.735900019053e-01 
